ADRA,ANR,21,90
ADRA,ASN,21,118
ADRA,ASN,21,118
ADRA,ASN,21,118
ADRA,ASN,21,118
ADRA,ASN,21,118
ADRA,BJE,21,272
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BQA,21,379
ADRA,BURN,21,466
ADRA,BURN,21,466
ADRA,CJN,21,563
ADRA,JPH,21,1162
ADRA,PRR,21,2136
ADRA,PRR,21,2136
ADRA,PRR,21,2136
ADRA,SNTD,21,2508
ADRA,SNTD,21,2508
ADT,KMU,22,1342
ADT,KMU,22,1342
ADT,KMU,22,1342
ADT,KTM,22,1435
ADT,KTM,22,1435
ADT,MV,22,1796
ADTL,JBP,23,1102
ADTP,KND,24,1344
ADTP,KND,24,1344
ADTP,TATA,24,2618
ADTP,TATA,24,2618
ADTP,TATA,24,2618
ADTP,TATA,24,2618
ADVI,RAJP,25,2180
ADVI,RN,25,2260
ADVI,RN,25,2260
ADVI,VID,25,2808
AF,AH,26,35
AF,AH,26,35
AF,AH,26,35
AF,AH,26,35
AF,BTE,26,435
AF,BXN,26,494
AF,BXN,26,494
AF,BXN,26,494
AF,BXN,26,494
AF,CNB,26,589
AF,ETW,26,815
AF,ETW,26,815
AF,GGC,26,874
AF,IDH,26,1076
AF,IDH,26,1076
AF,IDH,26,1076
AF,IDH,26,1076
AF,IDH,26,1076
AF,IDH,26,1076
AF,IDH,26,1076
AF,KOTA,26,1364
AF,SMBJ,26,2475
AF,SWM,26,2601
AF,SWM,26,2601
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AF,TDL,26,2628
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,AWY,27,138
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,CKI,27,568
AFK,DINR,27,700
AFK,DINR,27,700
AFK,TCR,27,2626
AFR,CH,28,542
AFR,DUB,28,779
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DHO,29,692
AGC,DSJ,29,772
AGC,FDB,29,821
AGC,FDB,29,821
AGC,FDB,29,821
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,GWL,29,976
AGC,IDH,29,1076
AGC,IDH,29,1076
AGC,JHS,29,1116
AGC,JHS,29,1116
AGC,JHS,29,1116
AGC,JHS,29,1116
AGC,JHS,29,1116
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MRA,29,1747
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
AGC,MTJ,29,1778
